Time,GSR
537009,756
537019,760
537029,756
537039,760
537049,756
537059,760
537069,756
537079,760
537089,756
537099,760
537109,756
537119,760
537129,755
537139,760
537149,756
537159,760
537169,755
537179,760
537189,756
537199,760
537209,755
537219,760
537229,756
537239,760
537249,755
537260,760
537270,755
537280,760
537290,755
537300,760
537319,760
537322,761
537331,755
537341,760
537351,754
537361,760
537371,755
537381,760
537391,754
537401,760
537411,754
537421,760
537431,754
537441,760
537451,754
537461,760
537472,755
537481,760
537491,754
537501,760
537511,755
537521,760
537531,755
537541,760
537551,755
537561,760
537571,755
537581,760
537591,755
537601,760
537611,755
537621,760
537631,754
537641,760
537651,755
537661,760
537671,755
537681,760
537691,755
537701,760
537711,754
537721,760
537731,755
537741,760
537751,754
537761,760
537772,755
537782,760
537792,755
537802,760
537812,755
537822,760
537832,755
537842,759
537862,759
537865,758
537874,757
537884,758
537894,758
537904,759
537914,757
537924,758
537934,758
537944,758
537954,757
537964,758
537974,758
537985,758
537995,758
538005,757
538015,759
538025,757
538035,758
538045,758
538055,759
538065,757
538075,758
538085,757
538095,759
538105,757
538115,758
538125,758
538135,759
538145,757
538156,759
538166,757
538176,760
538186,756
538196,760
538206,757
538216,760
538226,756
538236,760
538246,757
